class,accuracy,precision,recall,f1,support,model
38,92.85714286,0.984126984,0.984126984,0.984126984,378,balanced_tk_cnn.csv
39,98.79518072,1,0.987951807,0.993939394,83,balanced_tk_cnn.csv
40,95.39007092,0.989208633,0.975177305,0.982142857,282,balanced_tk_cnn.csv
41,98.12030075,0.974074074,0.988721805,0.981343284,266,balanced_tk_cnn.csv
42,96.40522876,1,0.990196078,0.995073892,306,balanced_tk_cnn.csv
0,97.82608696,0.865384615,0.97826087,0.918367347,46,balanced_tk_ResNet50_50.csv
1,92.63157895,0.964912281,0.926315789,0.945220193,475,balanced_tk_ResNet50_50.csv
2,95.79207921,1,0.957920792,0.978508217,404,balanced_tk_ResNet50_50.csv
3,80.15564202,1,0.80155642,0.889848812,257,balanced_tk_ResNet50_50.csv
4,99.02200489,0.990220049,0.990220049,0.990220049,409,balanced_tk_ResNet50_50.csv
5,99.51100244,0.992682927,0.995110024,0.993894994,409,balanced_tk_ResNet50_50.csv
6,97.63313609,1,0.976331361,0.988023952,169,balanced_tk_ResNet50_50.csv
7,99.15966387,0.887218045,0.991596639,0.936507937,119,balanced_tk_ResNet50_50.csv
8,94.31818182,1,0.943181818,0.970760234,88,balanced_tk_ResNet50_50.csv
9,100,0.995867769,1,0.997929607,241,balanced_tk_ResNet50_50.csv
10,86.74698795,0.990825688,0.86746988,0.925053533,249,balanced_tk_ResNet50_50.csv
11,100,0.971428571,1,0.985507246,34,balanced_tk_ResNet50_50.csv
12,96.84684685,0.858283433,0.968468468,0.91005291,444,balanced_tk_ResNet50_50.csv
13,90.90909091,0.921052632,0.909090909,0.91503268,77,balanced_tk_ResNet50_50.csv
14,87.3015873,1,0.873015873,0.93220339,63,balanced_tk_ResNet50_50.csv
15,96.7032967,0.967032967,0.967032967,0.967032967,91,balanced_tk_ResNet50_50.csv
16,94.62365591,0.956521739,0.946236559,0.951351351,93,balanced_tk_ResNet50_50.csv
17,96.49122807,0.785714286,0.964912281,0.866141732,57,balanced_tk_ResNet50_50.csv
18,97.7443609,0.966542751,0.977443609,0.971962617,266,balanced_tk_ResNet50_50.csv
19,94.44444444,0.894736842,0.944444444,0.918918919,108,balanced_tk_ResNet50_50.csv
20,100,0.515151515,1,0.68,51,balanced_tk_ResNet50_50.csv
21,79.59183673,0.962962963,0.795918367,0.87150838,98,balanced_tk_ResNet50_50.csv
22,100,0.555555556,1,0.714285714,55,balanced_tk_ResNet50_50.csv
23,97.8021978,0.892976589,0.978021978,0.933566434,273,balanced_tk_ResNet50_50.csv
24,87.87878788,0.945652174,0.878787879,0.910994764,99,balanced_tk_ResNet50_50.csv
25,92.56756757,0.992753623,0.925675676,0.958041958,148,balanced_tk_ResNet50_50.csv
26,100,0.772727273,1,0.871794872,34,balanced_tk_ResNet50_50.csv
27,99.34640523,0.987012987,0.993464052,0.990228013,153,balanced_tk_ResNet50_50.csv
28,98.16513761,1,0.981651376,0.990740741,109,balanced_tk_ResNet50_50.csv
29,100,0.992125984,1,0.996047431,252,balanced_tk_ResNet50_50.csv
30,98.80952381,1,0.988095238,0.994011976,84,balanced_tk_ResNet50_50.csv
31,100,0.976744186,1,0.988235294,42,balanced_tk_ResNet50_50.csv
32,97.18309859,1,0.971830986,0.985714286,426,balanced_tk_ResNet50_50.csv
33,100,0.965517241,1,0.98245614,56,balanced_tk_ResNet50_50.csv
34,99.48979592,0.953545232,0.994897959,0.973782772,392,balanced_tk_ResNet50_50.csv
35,80,1,0.8,0.888888889,60,balanced_tk_ResNet50_50.csv
36,100,0.934782609,1,0.966292135,43,balanced_tk_ResNet50_50.csv
37,97.95918367,0.96,0.979591837,0.96969697,49,balanced_tk_ResNet50_50.csv
38,75.92592593,0.986254296,0.759259259,0.85799701,378,balanced_tk_ResNet50_50.csv
39,97.59036145,0.987804878,0.975903614,0.981818182,83,balanced_tk_ResNet50_50.csv
40,88.65248227,0.988142292,0.886524823,0.934579439,282,balanced_tk_ResNet50_50.csv
41,99.2481203,0.862745098,0.992481203,0.923076923,266,balanced_tk_ResNet50_50.csv
42,99.34640523,0.938271605,0.993464052,0.965079365,306,balanced_tk_ResNet50_50.csv
0,91.30434783,0.84,0.913043478,0.875,46,balanced_tk_ResNet50_152.csv
1,69.68421053,0.996987952,0.696842105,0.820322181,475,balanced_tk_ResNet50_152.csv
2,99.75247525,0.982926829,0.997524752,0.99017199,404,balanced_tk_ResNet50_152.csv
3,99.22178988,0.965909091,0.992217899,0.978886756,257,balanced_tk_ResNet50_152.csv
4,98.28850856,1,0.982885086,0.991368681,409,balanced_tk_ResNet50_152.csv
5,100,0.969194313,1,0.984356197,409,balanced_tk_ResNet50_152.csv
6,95.85798817,1,0.958579882,0.978851964,169,balanced_tk_ResNet50_152.csv
7,90.75630252,1,0.907563025,0.95154185,119,balanced_tk_ResNet50_152.csv
8,100,1,1,1,88,balanced_tk_ResNet50_152.csv
9,98.75518672,0.975409836,0.987551867,0.981443299,241,balanced_tk_ResNet50_152.csv
10,91.96787149,1,0.919678715,0.958158996,249,balanced_tk_ResNet50_152.csv
11,97.05882353,1,0.970588235,0.985074627,34,balanced_tk_ResNet50_152.csv
12,81.53153153,0.898263027,0.815315315,0.854781582,444,balanced_tk_ResNet50_152.csv
13,88.31168831,0.985507246,0.883116883,0.931506849,77,balanced_tk_ResNet50_152.csv
14,80.95238095,0.944444444,0.80952381,0.871794872,63,balanced_tk_ResNet50_152.csv
15,100,0.928571429,1,0.962962963,91,balanced_tk_ResNet50_152.csv
16,97.84946237,0.866666667,0.978494624,0.919191919,93,balanced_tk_ResNet50_152.csv
17,50.87719298,1,0.50877193,0.674418605,57,balanced_tk_ResNet50_152.csv
18,94.73684211,0.961832061,0.947368421,0.954545455,266,balanced_tk_ResNet50_152.csv
19,87.03703704,0.921568627,0.87037037,0.895238095,108,balanced_tk_ResNet50_152.csv
20,96.07843137,0.636363636,0.960784314,0.765625,51,balanced_tk_ResNet50_152.csv
21,89.79591837,1,0.897959184,0.946236559,98,balanced_tk_ResNet50_152.csv
22,96.36363636,0.791044776,0.963636364,0.868852459,55,balanced_tk_ResNet50_152.csv
23,93.40659341,0.94095941,0.934065934,0.9375,273,balanced_tk_ResNet50_152.csv
24,95.95959596,0.778688525,0.95959596,0.859728507,99,balanced_tk_ResNet50_152.csv
25,98.64864865,0.924050633,0.986486486,0.954248366,148,balanced_tk_ResNet50_152.csv
26,88.23529412,0.9375,0.882352941,0.909090909,34,balanced_tk_ResNet50_152.csv
27,100,0.987096774,1,0.993506494,153,balanced_tk_ResNet50_152.csv
28,97.24770642,1,0.972477064,0.986046512,109,balanced_tk_ResNet50_152.csv
29,98.80952381,1,0.988095238,0.994011976,252,balanced_tk_ResNet50_152.csv
30,97.61904762,0.976190476,0.976190476,0.976190476,84,balanced_tk_ResNet50_152.csv
31,78.57142857,0.970588235,0.785714286,0.868421053,42,balanced_tk_ResNet50_152.csv
